date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:54	49572/49572	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Aug%202019%2020:16:46%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/files/3c_large.jpg?v=1504931824	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/3c_large8e86.jpg	(from https://culturedabba.com/blogs/news/get-our-diwali-special-from-amazon-http-mybook-to-diwali)
15:16:55	1212/1212	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:16:54%20GMT	http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/onam-ashamsakal-culturedabba-wishes-everyone-a-very-happy-onam&media=//cdn.shopify.com/s/files/1/1017/1847/articles/HappyOnamPost2017.001_1024x1024.jpeg?v=1504556893&description=%22Onam%20Ashamsakal%22.%20CultureDabba%20wishes%20everyone%20a%20very%20happy%20Onam.	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/index8892.html	(from https://culturedabba.com/blogs/news/onam-ashamsakal-culturedabba-wishes-everyone-a-very-happy-onam)
15:16:58	28120/28120	---MCZ	200	added ('OK')	text/html	etag:cacheable:9c11f6cb047441fe0bc1f0d6e0133bca	https://culturedabba.com/blogs/news/tagged/designer	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/designer.html	(from https://culturedabba.com/blogs/news/hiring-now-director-graphic-design-digital-and-print-media)
15:16:58	46006/46006	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Aug%202019%2020:16:51%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/files/HappyOnamPost2017.001_large.jpeg?v=1504556615	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/happyonampost2017.001_large82ed.jpg	(from https://culturedabba.com/blogs/news/onam-ashamsakal-culturedabba-wishes-everyone-a-very-happy-onam)
15:16:59	30160/30160	---MCZ	200	added ('OK')	text/html	etag:cacheable:e377f523aaf5d7919f42bf2447688af4	https://culturedabba.com/blogs/news/tagged/help-wanted	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/help-wanted.html	(from https://culturedabba.com/blogs/news/hiring-now-director-graphic-design-digital-and-print-media)
15:17:00	30118/30118	---MCZ	200	added ('OK')	text/html	etag:cacheable:f69a2379a7ca7f9c29fdc66368602d86	https://culturedabba.com/blogs/news/tagged/jobs	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/jobs.html	(from https://culturedabba.com/blogs/news/hiring-now-director-graphic-design-digital-and-print-media)
15:17:00	1242/1242	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2013%20Aug%202019%2020:16:59%20GMT	http://pinterest.com/pin/create/button/?url=https://culturedabba.com/blogs/news/hiring-now-director-graphic-design-digital-and-print-media&media=//cdn.shopify.com/s/files/1/1017/1847/articles/Director_-_Graphic_Designer_-_Position_1024x1024.png?v=1493703660&description=Hiring%20now%20-%20Director%20-%20Graphic%20Design%20(Digital%20and%20Print%20Media)	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/index4598.html	(from https://culturedabba.com/blogs/news/hiring-now-director-graphic-design-digital-and-print-media)
15:17:01	30136/30136	---MCZ	200	added ('OK')	text/html	etag:cacheable:42a97b63a1455b4c57694ff76d928c50	https://culturedabba.com/blogs/news/tagged/vacancy	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/vacancy.html	(from https://culturedabba.com/blogs/news/hiring-now-director-graphic-design-digital-and-print-media)
15:17:01	1150/1150	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:be4fadee34f8d149a55a127e1704dde6	https://culturedabba.com/blogs/news/tagged/family.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/family.atom	(from https://culturedabba.com/blogs/news/tagged/family)
15:17:01	1154/1154	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:eb009882112f76397a10c6ecec9a8bf4	https://culturedabba.com/blogs/news/tagged/parenthood.atom	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/parenthood.atom	(from https://culturedabba.com/blogs/news/tagged/parenthood)
